gender,age,study_time,failures,absences,G1,G2,G3,family_support,paid_classes,activities,internet,parental_edu,dropout
M,19,3,1,3,9,6,3,no,no,yes,no,secondary,1
F,18,3,2,7,9,10,6,no,no,no,yes,none,1
F,21,2,0,4,9,6,7,no,yes,yes,no,primary,0
F,19,3,0,3,12,9,9,yes,no,no,yes,higher,0
M,17,1,1,5,11,14,11,yes,no,no,yes,higher,0
M,15,2,0,5,10,8,5,yes,yes,no,yes,secondary,0
M,20,1,0,4,11,9,7,yes,no,no,yes,higher,0
F,21,1,0,8,8,9,9,yes,no,no,no,higher,0
F,21,3,0,4,11,12,9,yes,yes,no,yes,none,0
F,17,4,0,3,11,12,10,yes,no,yes,yes,primary,0
M,17,1,0,5,6,6,5,yes,no,yes,no,none,0
F,16,2,2,9,13,13,8,yes,no,yes,no,primary,0
F,21,3,0,5,8,6,7,no,no,no,no,primary,0
M,16,1,1,2,11,9,9,yes,no,no,yes,secondary,0
M,16,2,0,5,14,15,16,yes,no,yes,no,higher,0
M,20,3,0,2,13,13,8,no,no,no,yes,higher,0
M,16,2,3,2,11,10,10,yes,no,no,yes,secondary,1
F,19,1,0,5,9,9,5,no,yes,no,no,higher,0
M,18,2,0,2,13,11,10,yes,no,no,no,secondary,0
M,15,3,0,5,13,13,12,yes,yes,no,no,higher,0
F,17,2,0,1,9,7,2,yes,yes,yes,yes,secondary,0
M,19,1,1,3,8,9,6,no,no,yes,no,primary,0
M,15,3,2,3,4,7,4,yes,no,no,no,higher,1
M,21,1,0,2,11,12,8,no,no,yes,yes,secondary,0
F,21,3,0,6,10,11,9,yes,no,yes,yes,secondary,0
F,21,1,0,2,14,13,13,yes,no,no,no,secondary,0
M,19,4,1,0,12,15,11,yes,no,no,yes,secondary,0
F,19,2,0,5,15,14,12,yes,no,no,no,higher,0
F,17,2,0,2,8,6,6,yes,no,yes,yes,none,0
M,18,1,0,5,14,11,10,no,no,no,no,higher,0
F,16,2,0,1,9,11,6,yes,no,yes,no,none,1
M,21,3,0,5,13,12,12,yes,no,yes,yes,secondary,0
M,20,4,1,5,6,4,4,yes,no,no,no,primary,0
F,18,2,0,5,11,14,11,no,yes,yes,yes,secondary,0
F,20,2,0,8,5,5,2,no,no,yes,yes,primary,0
F,17,3,1,4,10,13,9,no,no,no,yes,secondary,0
M,17,3,1,5,12,13,10,no,no,yes,yes,primary,0
M,17,2,0,6,9,10,5,no,yes,no,no,primary,0
F,15,2,0,5,7,8,3,no,no,no,no,secondary,1
M,20,2,0,4,13,11,8,no,no,no,yes,primary,0
M,18,3,0,2,10,11,10,yes,yes,yes,yes,primary,0
F,18,1,0,7,9,8,5,yes,no,no,yes,primary,0
M,19,2,0,2,11,11,7,yes,no,yes,no,secondary,0
F,19,2,0,4,18,19,13,yes,no,no,no,secondary,0
M,21,3,1,3,14,12,9,yes,no,yes,no,none,0
F,19,1,0,4,14,14,10,yes,no,yes,no,primary,0
M,17,2,0,5,12,13,14,no,no,no,yes,secondary,0
F,18,2,0,2,11,8,9,yes,no,yes,yes,secondary,0
F,20,2,2,7,3,4,5,no,no,yes,no,higher,1
M,17,1,1,2,8,10,10,no,yes,yes,no,secondary,1
F,15,2,1,5,9,12,7,no,yes,no,no,secondary,0
F,19,2,1,1,5,4,1,no,yes,yes,no,secondary,1
F,17,2,2,3,7,7,3,no,no,yes,no,secondary,1
F,17,2,0,1,5,4,6,yes,no,yes,no,higher,0
F,15,3,0,4,10,7,5,yes,yes,no,no,secondary,1
F,16,3,0,5,13,10,6,yes,yes,no,no,secondary,0
M,18,2,1,5,14,16,11,no,no,yes,yes,secondary,0
M,20,3,1,3,12,11,9,no,no,yes,yes,secondary,0
M,21,2,0,4,8,8,7,no,no,yes,yes,secondary,0
M,16,1,0,4,5,2,3,yes,no,yes,no,secondary,0
M,19,1,0,9,5,2,1,yes,no,yes,yes,primary,1
M,17,2,2,5,7,8,7,yes,no,no,yes,secondary,1
F,15,3,0,5,8,10,6,yes,no,no,yes,higher,1
M,15,3,0,7,10,13,9,yes,yes,no,no,higher,0
M,18,3,0,3,7,5,6,yes,yes,yes,yes,secondary,0
F,16,2,0,2,12,15,10,no,yes,no,yes,primary,0
M,21,2,2,7,10,13,8,yes,no,no,yes,primary,0
F,18,1,0,7,11,8,8,yes,no,no,no,secondary,0
M,17,2,1,5,14,14,9,no,yes,no,yes,higher,0
F,18,2,0,6,7,7,5,yes,no,yes,yes,secondary,0
F,20,1,0,5,12,13,11,yes,no,yes,no,primary,0
M,15,1,0,2,10,10,12,yes,no,no,yes,higher,0
M,15,2,1,5,9,10,9,yes,yes,yes,yes,higher,0
F,19,3,0,7,13,10,10,yes,no,yes,no,secondary,0
F,19,4,0,6,13,10,10,yes,no,yes,yes,secondary,0
F,21,4,0,2,8,11,6,yes,yes,yes,no,secondary,0
F,17,2,2,6,10,7,7,yes,no,no,yes,secondary,1
M,20,2,0,3,11,8,7,yes,yes,yes,yes,higher,0
M,16,2,1,5,10,8,8,no,yes,yes,no,primary,0
M,18,3,0,4,12,14,11,yes,no,no,no,secondary,0
F,21,1,0,2,11,14,11,no,no,no,yes,secondary,1
F,17,2,0,5,16,19,14,yes,no,no,yes,higher,0
M,19,3,0,6,6,8,6,yes,yes,yes,no,higher,0
M,18,2,0,6,10,8,5,no,no,no,no,higher,1
M,19,2,0,3,8,5,4,yes,no,no,yes,secondary,0
M,18,2,0,4,12,12,12,yes,no,no,no,higher,0
F,16,1,2,4,6,7,6,yes,no,yes,yes,secondary,1
F,17,2,0,5,12,15,11,yes,yes,no,yes,secondary,0
F,18,2,1,2,9,11,12,no,no,no,yes,primary,0
F,20,1,0,1,8,7,3,no,no,no,yes,higher,0
M,21,1,0,1,6,7,3,yes,no,yes,yes,higher,0
F,15,3,0,7,9,8,10,yes,no,yes,yes,primary,0
F,20,2,0,7,14,13,11,yes,yes,no,yes,primary,0
F,20,2,0,5,10,13,9,no,yes,no,yes,higher,0
F,21,2,0,5,12,9,6,no,no,yes,yes,secondary,0
F,15,4,0,2,15,14,12,no,no,no,yes,higher,1
F,20,2,0,1,11,8,8,yes,no,no,no,primary,0
M,18,2,2,6,9,7,4,no,yes,no,yes,primary,1
M,18,3,1,3,12,12,9,yes,no,no,no,secondary,0
M,18,3,0,3,9,8,6,yes,no,yes,yes,primary,0
M,15,1,0,3,9,12,9,no,no,no,yes,primary,0
F,20,3,0,2,6,6,3,yes,yes,no,yes,primary,0
M,15,2,0,4,13,10,11,no,yes,no,no,primary,0
F,18,2,0,3,9,8,9,yes,no,yes,yes,primary,0
F,21,1,0,7,11,12,9,no,no,no,yes,higher,0
M,20,1,0,4,7,10,7,yes,no,yes,no,primary,1
M,20,3,0,3,12,10,8,yes,no,yes,no,secondary,0
F,19,2,0,5,8,10,6,yes,no,no,no,higher,0
M,19,2,1,2,10,8,6,yes,yes,no,yes,secondary,0
M,16,3,1,4,13,12,9,yes,yes,no,yes,secondary,0
M,17,3,0,3,13,16,15,yes,yes,yes,no,secondary,0
M,19,1,2,5,10,8,9,yes,no,no,yes,higher,1
F,15,2,2,2,5,7,7,yes,no,yes,no,higher,1
F,19,1,0,6,19,20,16,yes,no,no,no,secondary,0
F,16,3,0,3,16,16,11,yes,yes,yes,no,higher,0
F,20,3,0,4,13,14,11,no,no,no,yes,secondary,0
F,16,4,2,5,8,6,7,no,no,no,yes,primary,0
M,20,1,1,4,10,12,6,yes,no,yes,no,higher,1
F,21,1,0,4,9,9,8,yes,yes,yes,yes,secondary,1
F,21,2,0,2,14,17,17,no,no,no,yes,higher,0
F,20,2,0,3,11,13,12,yes,no,no,yes,none,0
F,17,1,0,2,8,9,10,yes,no,no,yes,secondary,0
M,19,4,0,1,9,6,6,yes,no,no,yes,higher,0
M,15,1,1,3,14,11,12,yes,yes,yes,no,primary,1
M,15,2,0,4,15,15,11,yes,no,yes,yes,higher,0
M,18,3,1,4,15,15,14,yes,no,yes,yes,higher,0
F,20,2,1,7,13,13,12,yes,no,yes,yes,higher,0
F,15,3,1,2,10,7,7,yes,no,no,yes,secondary,1
M,17,1,0,5,1,2,4,yes,yes,yes,no,secondary,1
F,20,2,0,8,11,11,8,yes,yes,no,no,higher,0
M,17,1,0,9,10,7,6,yes,no,no,yes,secondary,1
M,15,1,0,2,11,11,9,yes,no,no,no,secondary,0
M,15,4,0,4,11,11,7,no,no,no,yes,higher,0
M,18,1,0,4,7,9,7,yes,no,yes,no,secondary,0
F,15,2,0,6,12,12,6,yes,yes,no,yes,higher,1
M,20,2,0,5,12,9,10,yes,no,yes,yes,primary,0
F,21,2,0,1,13,14,11,yes,yes,yes,yes,primary,0
F,20,3,0,2,13,10,8,yes,no,no,no,secondary,0
M,20,1,1,6,12,9,6,yes,no,yes,yes,secondary,0
F,18,3,1,5,9,9,7,no,no,no,no,secondary,0
F,18,4,0,4,10,12,10,yes,no,no,yes,primary,0
M,15,2,0,5,11,10,9,no,yes,no,no,higher,0
F,16,4,0,4,11,14,9,yes,no,yes,yes,secondary,0
M,16,1,0,4,13,12,8,no,no,no,no,secondary,0
M,18,2,0,1,12,11,10,no,no,yes,yes,primary,0
M,15,2,2,8,17,14,11,no,no,no,yes,secondary,0
